"","name","url","type","branch","subdir","extra"
"1","tidyverse","http://cran.r-project.org/src/contrib/Archive/tidyverse/tidyverse_1.1.1.tar.gz","tarball",NA,".",NA
"2","broom","http://cran.r-project.org/src/contrib/Archive/broom/broom_0.4.1.tar.gz","tarball",NA,".",NA
"3","dplyr","http://cran.r-project.org/src/contrib/Archive/dplyr/dplyr_0.5.0.tar.gz","tarball",NA,".",NA
"4","forcats","http://cran.r-project.org/src/contrib/Archive/forcats/forcats_0.2.0.tar.gz","tarball",NA,".",NA
"5","ggplot2","http://cran.r-project.org/src/contrib/Archive/ggplot2/ggplot2_2.2.1.tar.gz","tarball",NA,".",NA
"6","haven","http://cran.r-project.org/src/contrib/Archive/haven/haven_1.0.0.tar.gz","tarball",NA,".",NA
"7","httr","http://cran.r-project.org/src/contrib/Archive/httr/httr_1.2.1.tar.gz","tarball",NA,".",NA
"8","hms","http://cran.r-project.org/src/contrib/Archive/hms/hms_0.3.tar.gz","tarball",NA,".",NA
"9","jsonlite","http://cran.r-project.org/src/contrib/Archive/jsonlite/jsonlite_1.2.tar.gz","tarball",NA,".",NA
"10","lubridate","http://cran.r-project.org/src/contrib/Archive/lubridate/lubridate_1.6.0.tar.gz","tarball",NA,".",NA
"11","magrittr","http://cran.rstudio.com/src/contrib/magrittr_1.5.tar.gz","tarball",NA,".",NA
"12","modelr","http://cran.r-project.org/src/contrib/Archive/modelr/modelr_0.1.0.tar.gz","tarball",NA,".",NA
"13","purrr","http://cran.r-project.org/src/contrib/Archive/purrr/purrr_0.2.2.tar.gz","tarball",NA,".",NA
"14","readr","http://cran.r-project.org/src/contrib/Archive/readr/readr_1.0.0.tar.gz","tarball",NA,".",NA
"15","readxl","http://cran.r-project.org/src/contrib/Archive/readxl/readxl_0.1.1.tar.gz","tarball",NA,".",NA
"16","stringr","http://cran.r-project.org/src/contrib/Archive/stringr/stringr_1.1.0.tar.gz","tarball",NA,".",NA
"17","tibble","http://cran.r-project.org/src/contrib/Archive/tibble/tibble_1.2.tar.gz","tarball",NA,".",NA
"18","rvest","http://cran.rstudio.com/src/contrib/rvest_0.3.2.tar.gz","tarball",NA,".",NA
"19","tidyr","http://cran.r-project.org/src/contrib/Archive/tidyr/tidyr_0.6.1.tar.gz","tarball",NA,".",NA
"20","xml2","http://cran.r-project.org/src/contrib/Archive/xml2/xml2_1.1.1.tar.gz","tarball",NA,".",NA
"21","knitr","http://cran.r-project.org/src/contrib/Archive/knitr/knitr_1.15.1.tar.gz","tarball",NA,".",NA
"22","rmarkdown","http://cran.r-project.org/src/contrib/Archive/rmarkdown/rmarkdown_1.3.tar.gz","tarball",NA,".",NA
"23","plyr","http://cran.rstudio.com/src/contrib/plyr_1.8.4.tar.gz","tarball",NA,".",NA
